"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","Validate CREATE Account API for Invalid Customer ID","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
"","716","Mismatched passwords shows validation error","","2026-05-17","passed","2026-05-17","ParaBank UI Automation","ui.spec.ts","",""
"","301","Validate CREATE Account API for Invalid From Account ID","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
"","3402","Should register user, open account via UI, and verify account ID via API","","2026-05-17","passed","2026-05-17","End-to-End: Register, Login, Open Account, and Verify via API","e2e.spec.ts","",""
"","308","Validate GET Account API - Missing Account ID","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
"","717","Missing first name shows validation error","","2026-05-17","passed","2026-05-17","ParaBank UI Automation","ui.spec.ts","",""
"","1171","Validate GET Account API - Valid Account","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
"","312","Validate CREATE Account API for Valid CREATE Account API","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
"","2069","Valid registration, login and open account","","2026-05-17","passed","2026-05-17","ParaBank UI Automation","ui.spec.ts","",""
"","303","Validate GET Account API - Invalid Account","","2026-05-17","passed","2026-05-17","Accounts API Tests","api.spec.ts","",""
